105,-6.20,278.76,220.61,1.26,-0.02
121,22.42,475.94,221.72,2.15,0.05
136,18.36,375.52,221.72,1.69,0.05
152,14.58,309.30,221.95,1.39,0.05
170,2887.41,3737.93,246.00,11.20,0.26
188,7095.14,11214.16,245.55,42.67,0.53
205,3087.58,4821.90,235.60,20.47,0.64
222,-587.94,1884.93,177.39,10.46,-0.43
237,-861.15,1263.31,168.89,7.48,-0.68
253,41512.99,56295.02,299.82,164.46,0.50
270,4922.10,13317.14,236.27,55.62,0.33
286,148.06,1437.50,224.09,6.39,0.04
302,-116.09,1877.04,222.09,8.45,-0.06
318,8.40,1211.25,221.73,5.46,0.01
336,-14.61,1173.44,221.66,5.29,-0.01
353,16.62,524.19,221.85,2.36,0.03
369,4.55,464.99,221.93,2.10,0.01
385,8.88,361.03,221.76,1.63,0.02
402,6.27,305.74,221.64,1.38,0.02
418,8.58,273.62,221.12,1.24,0.03
435,-14.35,253.46,220.53,1.15,-0.06
452,-18.20,241.87,219.88,1.10,-0.07
468,-5.14,229.20,221.78,1.03,-0.03
484,16.85,250.82,221.54,1.13,0.07
501,-7.42,261.78,219.63,1.19,-0.03
517,-1.10,236.05,221.05,1.07,-0.01
534,16.61,254.55,221.40,1.15,0.06
550,-3.60,266.99,221.46,1.21,-0.01
567,-18.82,276.30,221.45,1.25,-0.06
582,12.62,312.78,220.73,1.42,0.05
598,5.77,472.66,220.75,2.14,0.01
614,12.53,389.38,221.09,1.76,0.03
631,-6082.87,12100.02,221.25,54.75,-0.24
647,-15003.05,27178.58,220.43,123.30,-0.55
663,-14595.14,27935.80,221.45,126.15,-0.52
680,-13074.88,28007.31,220.28,127.15,-0.47
696,-13804.51,28333.42,221.15,128.12,-0.49
712,-14544.18,28012.64,221.48,126.48,-0.52
728,-14415.76,27911.68,220.19,126.76,-0.52
744,-14755.61,28145.95,221.48,127.08,-0.52
760,-14077.31,28153.10,221.48,127.11,-0.50
776,-14376.71,28421.91,221.77,128.16,-0.51
793,-14231.33,28387.85,221.47,128.18,-0.50
809,-14282.02,28371.24,221.40,128.14,-0.50
826,-14288.88,28148.42,221.13,127.29,-0.51
841,-14620.65,28007.00,221.63,126.37,-0.52
858,-14772.47,27838.03,221.00,125.97,-0.53
874,-15193.49,27612.48,221.12,124.88,-0.55
891,-17851.05,24954.71,221.13,112.85,-0.72
909,-17822.20,24521.28,221.71,110.60,-0.73
925,-17476.59,24264.18,221.19,109.70,-0.72
941,-17479.81,24931.89,221.43,112.59,-0.70
957,-17204.56,24355.49,220.82,110.30,-0.71
975,-17360.05,24613.06,220.90,111.42,-0.71
991,-17373.09,24660.17,221.51,111.32,-0.70
1007,-16693.89,25837.97,220.81,117.02,-0.65
1024,-16637.12,26373.46,221.32,119.16,-0.63
1040,-16442.66,26239.55,220.81,118.84,-0.63
1055,-16504.69,26273.38,221.10,118.83,-0.63
1071,-16475.52,26273.34,221.17,118.79,-0.63
1088,-16533.33,26273.42,221.32,118.71,-0.63
1104,-16528.03,26238.50,221.43,118.50,-0.63
